Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1uF,
C10,0402,1,1uF,
C11,0402,1,15pF,
C12,0402,1,15pF,
C13,0402,1,1uF,
C14,0402,1,3.9nF,
C15,0402,1,1uF,
C16,0402,1,3.9nF,
C17,0402,1,1uF,
C18,0402,1,1uF,
C19,0402,1,1uF,
C2,0402,1,1uF,
C20,0402,1,1uF,
C21,0402,1,1uF,
C22,0402,1,1uF,
C23,0402,1,1uF,
C24,0402,1,1uF,
C25,0402,1,1uF,
C26,0402,1,1uF,
C27,0402,1,1uF,
C28,0402,1,1uF,
C29,0402,1,1uF,
C3,0402,1,1uF,
C30,0402,1,1uF,
C31,0402,1,1uF,
C32,0402,1,1uF,
C33,0402,1,1uF,
C4,0402,1,1uF,
C5,0402,1,1uF,
C6,0402,1,1uF,
C7,0402,1,1uF,
C8,0402,1,1uF,
C9,0402,1,1uF,
"H1, H2, H3, H4",MountingHole_2.5mm,4,MountingHole,
IC1,TQFP32_MC_MCH,1,ATSAMD21E18A-MUT,
J1,OST_USB-B1HSB6,1,USB1130-15-A_REVA,
"J3, J4, J5",SMA_Amphenol_901-144_Vertical,3,Conn_Coaxial,
J6,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x04,
R1,0402,1,0,
R10,0402,1,50,
R11,0402,1,0,
R12,0402,1,0,
R13,0402,1,5.1k,
R14,0402,1,5.1k,
R15,0402,1,8.5,
R16,0402,1,141.9,
R17,0402,1,5.1k,
R18,0402,1,5.1k,
R19,0402,1,5.1k,
R2,0402,1,1.1k,
R20,0402,1,5.1k,
R21,0402,1,5.1k,
R22,0402,1,0,
R23,0402,1,0,
R3,0402,1,R_Small_US,
R4,0402,1,R_Small_US,
R5,0402,1,50,
R6,0402,1,50,
R7,0402,1,8.5,
R8,0402,1,50,
R9,0402,1,50,
U1,SOT-23-5_M5_MCH,1,MIC5317-3.3YM5-TR,
U2,SOT-23-5_M5_MCH,1,MIC5317-1.8YM5-TR,
U3,SOIC8-N_MC_MCH,1,24AA16-I/SN,
U4,CP-48-13_ADI,1,AD9544BCPZ,
"U5, U6",DBV5,2,SN65LVDS2DBVR,
XTAL1,OSCCC200X160X50N,1,NX2016SA-52MHZ-EXS00A-CS07103,
