Designator,Mid X,Mid Y,Rotation,Layer
C1,130.25,-131.0,0.0,top
C10,145.55,-119.33,0.0,top
C11,149.125,-103.918248,322.0,top
C12,146.6,-104.243248,52.0,top
C13,141.6,-114.2,180.0,top
C14,143.0,-114.7,270.0,top
C15,153.5,-114.9,270.0,top
C16,152.55,-114.9,90.0,top
C17,147.62,-119.33,180.0,top
C18,149.05,-117.65,90.0,bottom
C19,143.25,-111.72,90.0,top
C2,130.35,-126.0,0.0,top
C20,151.025,-116.575,180.0,bottom
C21,150.175,-113.65,180.0,bottom
C22,151.0,-115.55,180.0,bottom
C23,149.225,-109.3,90.0,top
C24,147.95,-110.25,270.0,bottom
C25,151.95,-118.65,45.0,bottom
C26,162.95,-120.15,0.0,top
C27,163.24,-114.12,0.0,top
C28,146.45,-109.2,90.0,top
C29,145.3,-108.25,270.0,top
C3,135.649999,-97.51525,180.0,top
C30,155.915,-116.78,0.0,top
C31,149.8,-122.0625,270.0,top
C32,119.15,-121.55,180.0,top
C33,134.12,-114.8,0.0,top
C4,135.649999,-102.71525,180.0,top
C5,144.15,-115.45,0.0,bottom
C6,143.85,-113.95,0.0,bottom
C7,123.5,-111.7,0.0,top
C8,151.868901,-112.359999,180.0,bottom
C9,143.1,-117.25,270.0,top
IC1,119.243999,-115.95,180.0,top
J1,106.7,-117.8,270.0,top
J3,172.45,-124.65,270.0,top
J4,172.45,-112.15,270.0,top
J5,143.26,-95.94,270.0,top
J6,119.75,-127.32,270.0,top
R1,128.6,-117.44,270.0,top
R10,148.85,-120.5375,0.0,top
R11,165.4,-116.5,180.0,top
R12,165.15,-122.55,180.0,top
R13,120.75,-109.85,270.0,top
R14,119.15,-109.84,270.0,top
R15,143.89,-107.8,180.0,top
R16,141.8,-106.4,270.0,top
R17,140.7,-110.05,180.0,top
R18,141.225,-112.5,180.0,top
R19,155.09,-113.025,0.0,top
R2,132.35,-117.5,270.0,top
R20,152.725,-108.99,270.0,top
R21,153.21,-105.975,180.0,top
R22,151.0,-107.5,270.0,top
R23,142.79,-109.3,0.0,top
R3,165.15,-123.65,180.0,top
R4,165.4,-117.9,180.0,top
R5,154.49,-115.915,90.0,top
R6,145.0,-109.75,180.0,top
R7,142.8,-106.4,90.0,top
R8,154.49,-117.805,90.0,top
R9,150.825,-120.5375,0.0,top
U1,130.75,-128.5,90.0,top
U2,135.149999,-100.11525,270.0,top
U3,131.645,-110.6878,270.0,top
U4,147.8544,-114.349999,0.0,top
U5,162.35,-122.8562,270.0,top
U6,162.77,-116.77,270.0,top
XTAL1,148.174687,-105.4,232.0,top
